index,,Lower Salary Estimate,Higher Salary Estimate,Rating,Company,Location,State,Headquarters,"State,Country",Siz,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Count of Competitors,Machine Learning,Count of Machine Learning,
385,Senior Data Scientist,110.00,163.00,4.8,"Klaviyo
",Boston, MA,Boston, MA,201 to 500 ,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
386,Market Research Data Scientist,110.00,163.00,3.8,"GutCheck
",Denver, CO,Denver, CO,51 to 200 ,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million ,"Nielsen, Zappi, SurveyMonkey",3,No,,
387,It Partner Digital Health Technology And Data Science,110.00,163.00,3.6,"Biogen
",Cambridge, MA,Cambridge, MA,5001 to 10000 ,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,None,0,No,,
388,Data Scientist,110.00,163.00,Unknown,Hir,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
389,Data Scientist,110.00,163.00,Unknown,Hir,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
390,Senior Machine Learning Scientist,110.00,163.00,3.3,"Tempus Labs
",Redwood City, CA,Chicago, IL,501 to 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,Yes,,
391,"Software Engineer (Data Scientist, C,C++,Linux,Unix) - Sisw - Mg",110.00,163.00,4.1,"Mentor Graphics
",Fremont, CA,Wilsonville, OR,5001 to 10000 ,1981,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion ,"Cadence Design Systems, Synopsys, Altium Limited",6,No,,
392,Senior Clinical Data Scientist Programmer,110.00,163.00,3.6,"WCG (WIRB-Copernicus Group)
",Hamilton, NJ,Princeton, NJ,1001 to 5000 ,Unknown,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million ,None,0,No,,
393,Data Engineer,110.00,163.00,4.5,"Kingfisher Systems
",Falls Church, VA,Falls Church, VA,51 to 200 ,2005,Company - Private,Federal Agencies,Government,$25 to $50 million ,None,0,No,,
394,Computer Vision / Deep Learning Scientist,110.00,163.00,3.3,"Tempus Labs
",Chicago, IL,Chicago, IL,501 to 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,No,,
395,Data Solutions Engineer - Data Modeler,110.00,163.00,3.4,"Liberty Mutual Insurance
",Indianapolis, IN,Boston, MA,10000+ ,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion ,"Travelers, Allstate, State Farm",4,No,,
396,Data Scientist,110.00,163.00,4.3,"Visionary Integration Professionals
",Washington, DC,Folsom, CA,501 to 1000 ,1996,Company - Private,IT Services,Information Technology,$100 to $500 million ,"CGI (Nevada), Accenture, Deloitte",4,No,,
397,Data Scientist,110.00,163.00,3.5,"Maxar Technologies
",Herndon, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
398,Weapons And Sensors Engineer/Scientist,110.00,163.00,4,"Dynetics
",Huntsville, AL,Huntsville, AL,1001 to 5000 ,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,None,0,No,,
399,Applied Computer Scientist,110.00,163.00,4.5,"Systems & Technology Research
",Woburn, MA,Woburn, MA,201 to 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million ,None,0,No,,
400,Senior Data Analyst,110.00,163.00,4.5,"Novetta
",Herndon, VA,Mc Lean, VA,501 to 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million ,"Leidos, CACI International, Booz Allen Hamilton",6,No,,
401,Cloud Data Engineer (Azure),110.00,163.00,3.9,"Navy Federal Credit Union
",Merrifield, VA,Vienna, VA,10000+ ,1933,Other Organization,Banks & Credit Unions,Finance,Unknown,None,0,No,,
402,Lead Certified Clinical Laboratory Scientist,110.00,163.00,4,"Exact Sciences Corporation
",Madison, WI,Madison, WI,1001 to 5000 ,1995,Company - Public,Health Care Services & Hospitals,Health Care,$100 to $500 million ,None,0,No,,
403,Sr. Data Analyst,110.00,163.00,3.6,"Community Behavioral Health
",Philadelphia, PA,Phila, PA,201 to 500 ,1994,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion ,None,0,No,,
404,Senior Scientist - Toxicologist - Product Integrity (Stewardship),110.00,163.00,3.3,"Reynolds American
",Winston-Salem, NC,Winston-Salem, NC,5001 to 10000 ,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion ,None,0,No,,
405,Senior Machine Learning Engineer,110.00,163.00,5,"LifeOmic
",Raleigh, NC,Indianapolis, IN,51 to 200 ,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,Yes,,
406,Product Data Scientist - Ads Data Science,124.00,198.00,4.1,"Twitter
",San Francisco, CA,San Francisco, CA,1001 to 5000 ,2006,Company - Public,Internet,Information Technology,$2 to $5 billion ,"Facebook, Google, Pinterest",3,No,,
407,Data Scientist,124.00,198.00,3.2,"Postmates - Corporate HQ
",San Francisco, CA,San Francisco, CA,1001 to 5000 ,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown,"DoorDash, Uber, Grubhub",3,No,,
408,Data Scientist,124.00,198.00,4.9,"Visionist, Inc.
",Columbia, MD,Columbia, MD,51 to 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million ,None,0,No,,
409,Data Scientist,124.00,198.00,Unknown,Na,San Mateo, CA,Half Moon Bay, CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
410,Data Scientist,124.00,198.00,3.3,"Concerto HealthAI
",Boston, MA,Boston, MA,201 to 500 ,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,No,,
411,Data Scientist,124.00,198.00,Unknown,Evolv,Burbank, CA,Los Angeles, CA,1 to 50 ,2005,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
412,Data Scientist,124.00,198.00,5,"PROPRIUS
",Sunnyvale, CA,London, United Kingdom,1 to 50 ,Unknown,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
413,Data Scientist,124.00,198.00,3.4,"TECHNOCRAFT Solutions
",San Ramon, CA,Hilliard, OH,1 to 50 ,Unknown,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million ,None,0,No,,
414,Data Scientist,124.00,198.00,4.1,"Latitude, Inc.
",Washington, DC,Hanover, MD,1 to 50 ,Unknown,Company - Private,Consulting,Business Services,$1 to $5 million ,None,0,No,,
415,Data Scientist,124.00,198.00,5,"Royce Geospatial
",Springfield, VA,Arlington, VA,51 to 200 ,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million ,None,0,No,,
416,Data Scientist,124.00,198.00,4.2,"CyberCoders
",Phoenix, AZ,Irvine, CA,201 to 500 ,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million ,None,0,No,,
417,Data Scientist,124.00,198.00,3.7,"Booz Allen Hamilton Inc.
",Oxnard, CA,Mc Lean, VA,10000+ ,1914,Company - Public,Consulting,Business Services,$5 to $10 billion ,"Accenture, Deloitte, PwC",3,No,,
418,Data Scientist,124.00,198.00,3.8,"Burns & McDonnell
",Kansas City, MO,Kansas City, MO,5001 to 10000 ,1898,Company - Private,Architectural & Engineering Services,Business Services,$1 to $2 billion ,"Bechtel Jacobs, Black & Veatch, HNTB",6,No,,
419,Data Scientist,124.00,198.00,4.8,"InvenTech Info
",Jersey City, NJ,Bengaluru, India,201 to 500 ,2010,Company - Private,IT Services,Information Technology,$1 to $5 million ,None,0,No,,
420,Data Scientist,124.00,198.00,3.5,"Robert Half
",Manchester, NH,Menlo Park, CA,10000+ ,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion ,"Adecco, Manpower",2,No,,
421,Analytics - Business Assurance Data Analyst,124.00,198.00,4.6,"GreatAmerica Financial Services
",Cedar Rapids, IA,Cedar Rapids, IA,501 to 1000 ,1992,Company - Private,Lending,Finance,$100 to $500 million ,None,0,No,,
422,Data Scientist,124.00,198.00,4.5,"Conflux Systems Inc.
",Winters, TX,Alpharetta, GA,1 to 50 ,Unknown,Company - Private,Accounting,Accounting & Legal,Less than $1 million ,None,0,No,,
423,Data Scientist,124.00,198.00,3.9,"Criteo
",Ann Arbor, MI,Paris, France,1001 to 5000 ,2005,Company - Public,Internet,Information Technology,$2 to $5 billion ,"MediaMath, Conversant, AppNexus",3,No,,
424,Data Scientist,124.00,198.00,3.4,"Voice
",Brooklyn, NY,Unknown,,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
425,Data Scientist,124.00,198.00,Unknown,Microagil,New York, NY,Princeton, NJ,1 to 50 ,Unknown,Company - Private,Consulting,Business Services,$1 to $5 million ,None,0,No,,
426,Data Scientist,124.00,198.00,4.1,"Coverent
",McLean, VA,McLean, VA,51 to 200 ,2008,Company - Private,Consulting,Business Services,$10 to $25 million ,None,0,No,,
427,Data Scientist,79.00,133.00,3.7,"Via Transportation
",New York, NY,New York, NY,501 to 1000 ,2012,Company - Private,Internet,Information Technology,Unknown,None,0,No,,
428,Senior Data Scientist,79.00,133.00,3.5,"Benson Hill
",Saint Louis, MO,Saint Louis, MO,201 to 500 ,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million ,None,0,No,,
429,Data Scientist,79.00,133.00,4.6,"Conch Technologies, Inc
",Concord, CA,Memphis, TN,51 to 200 ,Unknown,Company - Private,Consulting,Business Services,$5 to $10 million ,None,0,No,,
430,Data Scientist,79.00,133.00,Unknown,Falcon IT & Staffing Soluti,Fort Belvoir, VA,Washington, DC,Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown,None,0,No,,
431,Data Scientist,79.00,133.00,Unknown,"Rainmaker Resources, ",Cincinnati, OH,Cincinnati, OH,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
432,Data Engineer,79.00,133.00,4.4,"Rocket Lawyer
",San Francisco, CA,San Francisco, CA,51 to 200 ,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million ,None,0,No,,
433,Data Scientist,79.00,133.00,3.6,"DataLab USA
",Germantown, MD,Germantown, MD,51 to 200 ,Unknown,Company - Private,IT Services,Information Technology,Unknown,"Acxiom, Merkle, Epsilon (North Carolina)",5,No,,
434,Data Scientist,79.00,133.00,3.1,"Werner Enterprises Inc
",Omaha, NE,Omaha, NE,10000+ ,1956,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$2 to $5 billion ,None,0,No,,
435,Data Scientist,79.00,133.00,5,"PeopleCom
",McLean, VA,Reston, VA,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,$1 to $5 million ,None,0,No,,
436,Data Scientist - Machine Learning,79.00,133.00,5,"VANTA Partners
",Open Fork, VA,Clifton Park, NY,1 to 50 ,2018,Company - Private,Staffing & Outsourcing,Business Services,Unknown,None,0,Yes,,
437,Data Scientist,79.00,133.00,Unknown,B4C,Reston, VA,Leesburg, VA,51 to 200 ,Unknown,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
438,Data Scientist,79.00,133.00,Unknown,"Blue Icy Water, ",United States,,Livonia, MI,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Unknown,None,0,No,,
439,Data Scientist,79.00,133.00,3.5,"Farmer's Business Network, Inc.
",San Carlos, CA,San Carlos, CA,201 to 500 ,2014,Company - Private,Farm Support Services,Agriculture & Forestry,Unknown,None,0,No,,
440,Data Scientist,79.00,133.00,Unknown,Sonde Hea,Boston, MA,Boston, MA,1 to 50 ,Unknown,Private Practice / Firm,Health Care Services & Hospitals,Health Care,Less than $1 million ,None,0,No,,
441,Data Scientist,79.00,133.00,5,"Maxiom
",Ashburn, VA,Ashburn, VA,1 to 50 ,Unknown,Company - Public,Unknown,Unknown,Unknown,None,0,No,,
442,Data Scientist,79.00,133.00,2.7,"Change Healthcare
",Lombard, IL,Nashville, TN,10000+ ,2007,Company - Public,IT Services,Information Technology,Unknown,None,0,No,,
443,Data Scientist,79.00,133.00,4.1,"DCS Corp
",Hampton, VA,Alexandria, VA,1001 to 5000 ,1977,Company - Private,Research & Development,Business Services,$100 to $500 million ,None,0,No,,
444,Data Scientist,79.00,133.00,2.1,"Hive (CA)
",San Francisco, CA,Los Angeles, CA,Unknown,2019,Company - Private,Telecommunications Services,Telecommunications,Unknown,None,0,No,,
445,Machine Learning Engineer/Scientist,79.00,133.00,4.8,"Jane Street
",New York, NY,New York, NY,501 to 1000 ,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown,None,0,Yes,,
446,Data Scientist - Intermediate,69.00,116.00,4.5,"Envision LLC
",Saint Louis, MO,Saint Louis, MO,201 to 500 ,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million ,None,0,No,,
447,Principal Data Scientist,69.00,116.00,4,"Autodesk
",San Francisco, CA,San Rafael, CA,5001 to 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion ,None,0,No,,
448,Data Scientist,69.00,116.00,3.3,"Hackensack Meridian Health
",Edison, NJ,Edison, NJ,10000+ ,Unknown,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$5 to $10 billion ,None,0,No,,
449,Senior Data Scientist Image Analytics,69.00,116.00,3.9,"Novartis
",Cambridge, MA,Basel, Switzerland,10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,None,0,No,,
450,Data Scientist,69.00,116.00,3.2,"Net2Source Inc.
",Alpharetta, GA,Somerset, NJ,1001 to 5000 ,2007,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million ,None,0,No,,
451,Data Scientist,69.00,116.00,3.2,"The Trade Desk
",Boulder, CO,Ventura, CA,1001 to 5000 ,2009,Company - Public,Internet,Information Technology,Unknown,None,0,No,,
452,Data Scientist- Industrial Discrete Sector Industry,69.00,116.00,3.7,"IBM
",Atlanta, GA,Armonk, NY,10000+ ,1911,Company - Public,IT Services,Information Technology,$10+ billion ,"Amazon, Accenture, Microsoft",3,No,,
453,Data Scientist,69.00,116.00,4.4,"Knowesis Inc.
",Falls Church, VA,Fairfax, VA,51 to 200 ,2007,Company - Private,Consulting,Business Services,$25 to $50 million ,"Booz Allen Hamilton, Deloitte, ERPi",5,No,,
454,Data Scientist,69.00,116.00,3.1,"MoTek Technologies
",Mountain View, CA,San Jose, CA,1 to 50 ,2009,Company - Private,IT Services,Information Technology,$1 to $5 million ,None,0,No,,
455,Data Scientist,69.00,116.00,3.3,"The Davey Tree Expert Company
",Kent, OH,Kent, OH,10000+ ,1880,Self-employed,Timber Operations,Agriculture & Forestry,$1 to $2 billion ,"ACRT Services, Bartlett Tree Experts",5,No,,
456,Data Scientist,69.00,116.00,3.5,"HPOne
",Trumbull, CT,Trumbull, CT,501 to 1000 ,2006,Company - Private,Insurance Carriers,Insurance,$50 to $100 million ,None,0,No,,
457,Data Scientist,69.00,116.00,Unknown,Stride Sea,San Francisco, CA,Westlake Village, CA,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Less than $1 million ,None,0,No,,
458,Machine Learning Engineer,69.00,116.00,2.6,"Software Engineering Institute
",Pittsburgh, PA,Pittsburgh, PA,501 to 1000 ,1984,College / University,Colleges & Universities,Education,Unknown,None,0,Yes,,
459,Data Scientist,69.00,116.00,Unknown,Blue Cloak ,Sterling, VA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
460,Data Scientist,69.00,116.00,2.7,"TBWA\Chiat\Day
",New York, NY,New York, NY,1001 to 5000 ,1968,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million ,None,0,No,,
461,Data Scientist,69.00,116.00,3.5,"ThreeBridge Solutions
",Alpharetta, GA,Minneapolis, MN,501 to 1000 ,2009,Company - Private,Consulting,Business Services,Unknown,None,0,No,,
462,Data Scientist,69.00,116.00,3.2,"Numeric, LLC
",Philadelphia, PA,Chadds Ford, PA,1 to 50 ,Unknown,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million ,None,0,No,,
463,Data Analyst - Unilever Prestige,69.00,116.00,3.8,"Dermalogica
",Carson, CA,Carson, CA,201 to 500 ,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million ,"IMAGE Skincare, Aveda, Kiehl's",4,No,,
464,Data Scientist,69.00,116.00,4.2,"Centraprise
",Foster City, CA,Edison, NJ,51 to 200 ,Unknown,Company - Private,IT Services,Information Technology,Less than $1 million ,None,0,No,,
465,Data Scientist,69.00,116.00,4.8,"TechProjects
",New York, NY,North Brunswick, NJ,1 to 50 ,2011,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
466,Data Scientist,69.00,116.00,4.2,"DW Simpson
",Frederick, MD,Chicago, IL,51 to 200 ,1989,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million ,None,0,No,,
467,Data & Machine Learning Scientist,31.00,56.00,3.3,"Tempus Labs
",Chicago, IL,Chicago, IL,501 to 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,Yes,,
468,Data Scientist,31.00,56.00,4,"Grid Dynamics
",Santa Clara, CA,San Ramon, CA,1001 to 5000 ,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million ,"Luxoft, EPAM, Capgemini Invent",4,No,,
469,"Vp, Data Science",31.00,56.00,3.9,"7Park Data
",New York, NY,New York, NY,51 to 200 ,2012,Company - Private,Research & Development,Business Services,Unknown,None,0,No,,
470,Senior Business Intelligence Analyst,31.00,56.00,3.7,"Protolabs
",Maple Plain, MN,Maple Plain, MN,1001 to 5000 ,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million ,None,0,No,,
471,Data Scientist,31.00,56.00,3.9,"LinQuest
",Colorado Springs, CO,Los Angeles, CA,501 to 1000 ,2004,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million ,None,0,No,,
472,Data Engineer - Kafka,31.00,56.00,3.5,"Western Digital
",San Jose, CA,San Jose, CA,10000+ ,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion ,"Seagate Technology, Toshiba",3,No,,
473,Data Scientist,31.00,56.00,4,"Trexquant Investment
",United States,,Stamford, CT,1 to 50 ,2012,Company - Private,Investment Banking & Asset Management,Finance,Unknown,None,0,No,,
474,Data Scientist,31.00,56.00,3,"Ameritas Life Insurance Corp
",Cincinnati, OH,Lincoln, NE,1001 to 5000 ,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion ,None,0,No,,
475,Data Scientist,31.00,56.00,3.7,"Fleetcor
",Atlanta, GA,Atlanta, GA,5001 to 10000 ,2000,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion ,None,0,No,,
476,Data Scientist,31.00,56.00,4.5,"Radiant Digital
",Washington, DC,New York, NY,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,Less than $1 million ,None,0,No,,
477,Data Scientist,31.00,56.00,2.8,"Child Care Aware of America
",Arlington, VA,Arlington, VA,51 to 200 ,1987,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million ,None,0,No,,
478,Data Scientist,31.00,56.00,4.1,"IntelliPro Group Inc.
",Santa Clara, CA,Santa Clara, CA,201 to 500 ,Unknown,Company - Private,Unknown,Unknown,$10 to $25 million ,None,0,No,,
479,In-Line Inspection Data Analyst,31.00,56.00,2.9,"Quest Integrity
",Tulsa, OK,Kent, WA,201 to 500 ,1996,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million ,None,0,No,,
480,Data Scientist,31.00,56.00,4.7,"Praxis Engineering
",Chantilly, VA,Annapolis Junction, MD,201 to 500 ,2002,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million ,"Raytheon Technologies, Northrop Grumman, Booz Allen Hamilton",7,No,,
481,Data Scientist,31.00,56.00,3.4,"USI
",Southfield, MI,Saint Paul, MN,1001 to 5000 ,1998,Company - Private,Construction,"Construction, Repair & Maintenance",$100 to $500 million ,None,0,No,,
482,Data Scientist,31.00,56.00,3.9,"Apex Systems
",San Francisco, CA,Glen Allen, VA,1001 to 5000 ,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion ,"TEKsystems, Insight Global, Accenture",4,No,,
483,Data Scientist,31.00,56.00,2.9,"Pragmatics, Inc.
",United States,,Reston, VA,201 to 500 ,1985,Company - Private,IT Services,Information Technology,$100 to $500 million ,None,0,No,,
484,Decision Scientist,31.00,56.00,4.5,"Johns Hopkins University Applied Physics Laboratory
",Laurel, MD,Laurel, MD,5001 to 10000 ,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion ,"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",7,No,,
485,Data Scientist,31.00,56.00,4.9,"Cambridge Mobile Telematics
",Cambridge, MA,Cambridge, MA,1 to 50 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
486,Data Scientist,31.00,56.00,5,"Phoenix Operations Group
",Annapolis Junction, MD,Woodbine, MD,1 to 50 ,2011,Company - Private,IT Services,Information Technology,$1 to $5 million ,None,0,No,,
487,"Data Scientist, Applied Machine Learning",95.00,119.00,3.3,"Tempus Labs
",Redwood City, CA,Chicago, IL,501 to 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,Yes,,
488,Data Scientist,95.00,119.00,3.5,"The Knot Worldwide
",Washington, DC,Chevy Chase, MD,1001 to 5000 ,2019,Company - Private,Internet,Information Technology,Unknown,Zola Registry,2,No,,
489,Data Scientist,95.00,119.00,3.5,"Crossover Health
",San Clemente, CA,Aliso Viejo, CA,1 to 50 ,2010,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million ,None,0,No,,
490,Data Scientist,95.00,119.00,4,"Lorven Technologies Inc
",New York, NY,Plainsboro, NJ,1 to 50 ,Unknown,Company - Private,Accounting,Accounting & Legal,Less than $1 million ,None,0,No,,
491,Data Analyst,95.00,119.00,3.9,"Nolij Consulting
",Falls Church, VA,Vienna, VA,51 to 200 ,2012,Company - Public,Consulting,Business Services,$1 to $5 million ,None,0,No,,
492,Data Scientist,95.00,119.00,3.4,"Dice.com
",Newton, MA,Denver, CO,201 to 500 ,1990,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million ,"Monster Worldwide, CareerBuilder, Craigslist",4,No,,
493,Data Scientist,95.00,119.00,3.5,"Gap Inc.
",San Francisco, CA,San Francisco, CA,10000+ ,1969,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion ,"H&M, Inditex, Fast Retailing",4,No,,
494,Data Scientist,95.00,119.00,4.7,"Tygart Technology, Inc
",Washington, DC,Fairmont, WV,1 to 50 ,Unknown,Company - Private,Unknown,Unknown,$1 to $5 million ,None,0,No,,
495,Data Scientist,95.00,119.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
496,Data Scientist,95.00,119.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
497,Data Scientist,95.00,119.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
498,Data Scientist,95.00,119.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
499,Data Scientist,95.00,119.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
500,Data Scientist,95.00,119.00,Unknown,Hatch Data ,San Francisco, CA,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
501,Data Scientist,95.00,119.00,4.6,"Murray Resources
",The Woodlands, TX,Houston, TX,1 to 50 ,1988,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million ,None,0,No,,
502,Data Scientist,95.00,119.00,4,"New York Technology Partners
",Seattle, WA,Jersey City, NJ,51 to 200 ,1999,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million ,None,0,No,,
503,Data Scientist,95.00,119.00,4,"Two95 International Inc.
",Chicago, IL,Cherry Hill, NJ,1 to 50 ,Unknown,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million ,None,0,No,,
504,Data Scientist,95.00,119.00,Unknown,Sophi,Chantilly, VA,Unknown,,1 to 50 ,Unknown,Unknown,Unknown,Unknown,Unknown,None,0,No,,
505,Data Scientist,95.00,119.00,4.7,"CRS Group
",Chicago, IL,Itasca, IL,51 to 200 ,1994,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million ,None,0,No,,
506,Data Scientist,95.00,119.00,3.5,"Blackstone Talent Group
",San Francisco, CA,San Francisco, CA,51 to 200 ,1998,Company - Private,Consulting,Business Services,$25 to $50 million ,None,0,No,,
507,Data Scientist,95.00,119.00,5,"Phoenix Operations Group
",Baltimore, MD,Woodbine, MD,1 to 50 ,2011,Company - Private,IT Services,Information Technology,$1 to $5 million ,None,0,No,,
508,Senior Principal Data Scientist (Python/R),212.00,331.00,4.1,"Roche
",Pleasanton, CA,Basel, Switzerland,10000+ ,1896,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Novartis, AstraZeneca, Siemens Healthineers",4,No,,
509,"Real World Science, Data Scientist",212.00,331.00,4,"AstraZeneca
",Wilmington, DE,Cambridge, United Kingdom,10000+ ,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,"Roche, GlaxoSmithKline, Novartis",3,No,,
510,Data Scientist,212.00,331.00,3.6,"Creative Circle
",United States,,Los Angeles, CA,201 to 500 ,2002,Company - Public,Staffing & Outsourcing,Business Services,Unknown,"Aquent, 24 Seven Talent",4,No,,
511,Data Scientist(S)/Machine Learning Engineer,212.00,331.00,5,"Blue Horizon Tek Solutions
",New York, NY,Coconut Creek, FL,1 to 50 ,1987,Company - Private,Staffing & Outsourcing,Business Services,Unknown,None,0,Yes,,
512,Senior Data Scientist,212.00,331.00,3.5,"Maxar Technologies
",Herndon, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
513,Data Scientist,212.00,331.00,4.7,"Sharpedge Solutions Inc
",Seattle, WA,Lombard, IL,Unknown,Unknown,Company - Private,Publishing,Media,Less than $1 million ,None,0,No,,
514,Data Scientist,212.00,331.00,3.5,"Maxar Technologies
",Herndon, VA,Westminster, CO,5001 to 10000 ,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion ,None,0,No,,
515,Data Scientist,212.00,331.00,3.6,"Alaka`ina Foundation Family of Companies
",Fort Sam Houston, TX,Honolulu, HI,501 to 1000 ,Unknown,Government,Unknown,Unknown,Unknown,None,0,No,,
516,Engineer - Computer Scientist - Research Computer Scientist - Signal Processing,212.00,331.00,3.9,"Southwest Research Institute
",Oklahoma City, OK,San Antonio, TX,1001 to 5000 ,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion ,"Los Alamos National Laboratory, Battelle, SRI International",7,No,,
